URL	Sitting
https://www.rtvslo.si/slovenija/poslanci-se-vedno-razdeljeni-glede-novele-zakona-o-igrah-na-sreco/616122	30. redna seja
https://www.rtvslo.si/slovenija/poslanci-razpravljali-o-predlogu-zakona-o-varstvu-okolja-vizjak-poziva-k-sprejetju-se-v-tem-mandatu/615729	30. redna seja
https://www.rtvslo.si/slovenija/dz-potrdil-zakon-o-varstvu-okolja-in-stevilne-zakonske-spremembe-na-podrocju-kmetijstva/615854	30. redna seja
https://www.rtvslo.si/slovenija/zelena-luc-dz-ja-le-za-zakon-o-nalezljivih-boleznih-in-zakon-o-varstvu-okolja/611176	29. redna seja
https://www.rtvslo.si/slovenija/jansa-o-predlogu-zakona-o-nalezljivih-boleznih-zakon-pomaga-k-sirjenju-bolezni/610615	29. redna seja
https://www.rtvslo.si/slovenija/opozicija-vladi-ocita-mafijsko-upravljanje-drzave-jansa-to-so-lazi/604914	28. redna seja
https://www.rtvslo.si/slovenija/dz-bo-noveli-protikoronskega-zakona-in-zakona-o-spodbujanju-investicij-obravnaval-po-nujnem-postopku/604845	28. redna seja
https://www.rtvslo.si/slovenija/poslanci-se-niso-odlocali-o-dohodninskem-zakonu-levica-zahteva-referendum/605053	28. redna seja
https://www.rtvslo.si/slovenija/koalicija-in-vecji-del-opozicije-deljeni-glede-povisanja-meje-izdatkov-letosnjega-proracuna/602236	27. redna seja
https://www.rtvslo.si/slovenija/dz-potrdil-drzavna-proracuna-z-visoko-rastjo-investicij/601630	27. redna seja
https://www.rtvslo.si/slovenija/zelena-luc-noveli-zakona-o-lekarniski-dejavnosti/598139	26. redna seja
https://www.rtvslo.si/slovenija/v-drzavnem-zboru-prva-obravnava-predlaganih-sprememb-na-podrocju-iger-na-sreco/598395	26. redna seja
https://www.rtvslo.si/slovenija/dz-skozi-predlog-pravne-podlage-za-koriscenje-evropskih-sredstev/598017	26. redna seja
https://www.rtvslo.si/slovenija/prestavljeno-glasovanje-o-svetlicu-zorcic-zavraca-ocitke-o-sodelovanju-s-koalicijo/598823	26. redna seja
https://www.rtvslo.si/slovenija/dz-boljsa-zascita-vlagateljev-odskodnine-za-lastnike-parcel-z-obmejno-ograjo/595060	25. redna seja
https://www.rtvslo.si/slovenija/jansa-poslovnezi-pri-meni-ne-lobirajo-ker-vedo-da-nisem-tarca-za-to/594573	25. redna seja
https://www.rtvslo.si/slovenija/novela-zakona-o-orozju-nov-krog-legalizacije-dusilci-pa-tudi-omejitve-za-trgovce-z-orozjem/587081	24. redna seja
https://www.rtvslo.si/slovenija/novemu-interventnemu-zakonu-za-pomoc-ob-epidemiji-se-obeta-podpora/586729	24. redna seja
https://www.rtvslo.si/slovenija/odslej-v-slovenijo-le-se-s-potrdili-pct-delavci-migranti-razocarani-nad-novim-rezimom-na-meji/587701	24. redna seja
https://www.rtvslo.si/slovenija/prelozili-glasovanje-o-demografskem-skladu-novelo-zakona-o-nalezljivih-boleznih-pa-zavrnili/587699	24. redna seja
